tweet_id,tweet_text,img_text
1114679353714016256,Nigga,#YOUNGERU SAVE IT 
1063020048816660480,My horses are retarded,
1108927368075374593,NIGGA ON MA MOMMA YOUNGBOY BE SPITTING REAL SHIT NIGGA,
1114558534635618305,RT xxSuGVNGxx I ran into this HOLY NIGGA TODAY,
1035252480215592966,EVERYbody calling you Nigger now!,
1106978219654303744,real ass bitch give a fuck boutta nigga,
1113920043568463874,Fuck ice. White supremacist trash. All of you are racist garbage.,"Hello, White Nationalist. Good-bye. Others will now block you without engaging to reduce your visibility. "
1114588617693966336,Days a cunt,Dad's a Cunt Mum's a Cunt Nan's a Cunt Kids are Cunts COUNCIL STAT LAD Dog's a Cunt Cat's a unt We are all Cunts In this house 
1045809514740666370,sissy faggot,EVERY SISSY GIRL SHOULD KNOW THAT MEN ARE WIZARDS WITH THE HELP OF THIS MAGIC WAND THEY WILL MAKE YOU A GIRL FOREVER E YOU READY FOR THIS? 
1108178453910695936,Nigga what?,
1116702448016556035,So.... you turn to twitter for it instead of beating that nigga ass or contacting the police about it?,SBURG 
1114666757497733122,I swear I was waiting for her to mouth the word nigger,
1109613175861899264,Im  behind you nigga u my thug brother,
1107789047731273728,Who dafuqq is this nigga,
1114918192403578884,bf move your bighead   gf NIGGA WHAT?? THATS WHY YOUR DADDY LEFT YOU IN 08!!,
1116392705716830208,This fat nigga slander is getting outta hand,
1050477688194969600,ecofascist  is just another nest for SJW,"Sierra Club a partagé une vidéo en direct. Eisa Today is the United Nation's ""International Day of the Girl"" and we want to celebrate the awesome girls of Girl Scout Troop 6195 in llinois These young women are powerful advocates for clean air and clean water, having joined the local Sierra Club group at numerous events to speak up for the environment and climate action. Most recently they testified in favor of protecting the historic Clean Power Plan, a climate action plan that's at risk of being dismantied. Watch their speech at the rally outside the hearing! "
1113530722789228549,When a android nigga wanna talk about phone battery,"Oh, so now the Twitter for Android IS going to preach to "
1107795783066312704,Check out this nigger,
1113555815829471238,Dat nigga my homie 3,
1106580019936182273,Imagine a nigga first time messaging you. Then says you off the team,Whatdlid voui say? 
1108093145122856961,Phantom Power Music  Never Surrender,
1055176608624058368,NIGGA. Wya?,WE AINT 
1115300261088591879,carol really said fuck yall Im a dyke and Im here to save the universe,"Marvel Studios FIRST ON GMA AVENGERS ASSEMBLE GMA EXCLUSIVE NEW SNEAK PEEK AT EPIC ""ENDGAME 6cNEWS N IN TICKET SALES KEITH URBAN, KACEY MUSGRAVES, AND DAN+SHAY WIN AT ACM AW "
1058046993044570119,motivation from my favorite twat,"can't sleep, gotta get this breac CHAT "
1053849896309178368,"Mike was a twat, cocky son of a B that always deleted his bad calls",
1044596079042408453,And I said his 29 not 30 cos his 29 but this twat still said his nearer 30 eventhough his 29.....,EDINBURGH 
1113145568954601472,Ask a nigga to do it,
1105174167488548865,Pamilerin be like after seeing this me d muscular nigga,
1109653281435860992,Its definitely YOU nigga,
1109166904600641538,Lydia just called this man a cunt.,
1037047746593603584,"and  are the Jack and Ennis from Brokeback faggot Mountain, yall.",
1107661782229884933,Remember Ruri. Dwarves are stubborn.  So never surrender. Shields up Iron Breaker,
1107260404810563584,Im really about to fight my cousin  when I see this nigga,
1108872578234503169,"i fucked up, my response was too faggot like, I need to act more masc",
1116532229960761354,Netflix we coming for you nigga,MakeAGIF.com 
1117530064130846722,The ice cream truck nigga was like,
1060997054472830977,Fuck u England u little twat!,0:17 That1BlackGuy.iF Pass the boof 
1109210622502285313,SHE NACHOS.  ITS JUST YOUR TURN NIGGA.  Dumb Niggas,
1115275629476372480,nigga got them,
1114250985956835339,"Fare play , little cunt wont be doing that again",Derbyshire 
1109641012090204160,Look at this nigga son,
1056821741622910977,When Youve Just Had Enough Of That Cocky Twat!,
1107619527054016512,some nigga how are you today   me,
1114331449174392844,SHOOKY A NIGGA NOW yall mightve did sumn here,Hooky @LILMOODBOX BT21 loN uMMI20Tion 
1108422089000828928,Happy Gday to my roun BIG 19! Love ya 4Life my niGGa ZHM TMG 228GfportMississippi,
1115029160743849984,This nigga is the Portuguese Fat frank,Back Media Statistics Lineups Standings Match Pla 4-3-3 Sport SUBSTITUTIONS 40 13 26 86 37 29 23 Close 8 Bruno Fernandes Cardiff 7AM-8PM 
1113418430328209421,The Blame is Thanos my nigger  Bonucci to Kean... maybe.... I dunno im not the king of racists,
1059489246908727297,STFU NIGGA GOD DAMN,"IAT&T LTE 11:24 AM @ 74%@D, 5 People Text Message Today 11:16 AM Raw Story @RawStory Woman pretends to be persecuted Trump supporter and scams conservatives out of $150,000 Woman pretends to be persecuted Trump supporter-and scams conservatives out of t. rawstory.com 11/4/18, 9:23 PM Y'all why didn't we think of this?! Jeanette True statement. I hope this means you millennial tail is voting Nope Text Message "
1044757837359075328,Jeffery really said Ill take a V card from a retard,aptown 
